Name,Weightclass,Link,Placing,Name,YOB,Team,State,Weight,Squat1,Squat2,Squat3,Bench press1,Bench press2,Bench press3,Deadlift1,Deadlift2,Deadlift3,Total,Points,Drug tested
Kiana Hendricks,84+,lifters-view?id=36215,4.,Kiana Hendricks,1996,,CO,95.10,137.5,145,150,77.5,82.5,85,160,172.5,177.5,412.5,349.02,
Lisa Rothman,-47,lifters-view?id=14276,3.,Lisa Rothman,1975,,FL,46.68,100,107.5,110,-60,60,-62.5,120,127.5,-132.5,297.5,402.07,
Suzanne Hartwig-Gary,-52,lifters-view?id=392,3.,Suzanne Hartwig-Gary,1968,Supreme Sports Performance & Training,MD,51.85,142.5,150,152.5,67.5,72.5,77.5,142.5,152.5,162.5,392.5,490.39,
Mune van Luen,-52,lifters-view?id=8073,10.,Mune van Luen,1976,,CA,51.32,127.5,132.5,135,65,67.5,-70,135,140,142.5,345,434.46,
Nicole Lamartine,-52,lifters-view?id=28461,13.,Nicole Lamartine,1975,,WY,51.37,-117.5,117.5,-120,65,67.5,-70,150,-155,-155,335,421.56,
Winnie Abramson,-52,lifters-view?id=13923,4.,Winnie Abramson,1970,,NY,49.02,92.5,100,-105,45,50,-55,110,-120,-120,260,339.01,
Kris Leatherberry,-57,lifters-view?id=28342,1.,Kris Leatherberry,1970,Reactive Training Systems,CA,54.84,117.5,127.5,132.5,60,-65,-65,135,140,-145,332.5,397.70,
Megan Schilling,-57,lifters-view?id=31581,2.,Megan Schilling,1977,,MN,53.53,-100,100,112.5,52.5,57.5,62.5,132.5,142.5,-147.5,317.5,387.00,
Nicole Sandomenico,-57,lifters-view?id=15319,3.,Nicole Sandomenico,1975,,NJ,56.07,90,100,-102.5,55,-60,-60,145,-155,-155,300,352.65,X
Sarah Gravino,-57,lifters-view?id=38870,4.,Sarah Gravino,1977,,NY,55.21,80,85,90,65,70,-72.5,125,135,-140,295,350.99,
Katherine Berger,-57,lifters-view?id=32978,-,Katherine Berger,1972,,NH,55.45,-112.5,-117.5,-117.5,67.5,72.5,-75,120,127.5,-135,0,0.00,
Jennifer Thompson,-63,lifters-view?id=455,1.,Jennifer Thompson,1973,Team Carolina,NC,61.30,130,142.5,150,-125,140,142.5,160,190,197.5,490,537.33,X
Jo Aita,-63,lifters-view?id=40980,29.,Jo Aita,1970,,CA,59.19,125,130,135,72.5,77.5,-82.5,150,160,167.5,380,428.15,
Amy Mason,-63,lifters-view?id=29096,45.,Amy Mason,1976,,NC,62.69,127.5,-135,135,60,65,-67.5,135,147.5,155,355,382.69,X
Tangie Gardner,-63,lifters-view?id=37456,4.,Tangie Gardner,1974,,MD,60.84,-125,130,132.5,60,65,-67.5,145,150,155,352.5,388.81,
Cathy Avery,-63,lifters-view?id=35248,5.,Cathy Avery,1969,Optimal Performance,PA,62.92,115,-120,120,65,72.5,75,130,137.5,147.5,342.5,368.19,
Kim Wilson,-63,lifters-view?id=23213,6.,Kim Wilson,1968,,MS,62.04,100,-110,-110,62.5,67.5,70,155,167.5,-175,337.5,366.73,
Jennifer Hitchcock,-63,lifters-view?id=35013,69.,Jennifer Hitchcock,1976,,TN,62.19,-105,105,120,60,65,-67.5,137.5,147.5,-160,332.5,360.63,
Suzanne Waldrop,-63,lifters-view?id=40134,74.,Suzanne Waldrop,1971,,KY,60.77,115,-125,-130,-57.5,57.5,-60,152.5,-165,-165,325,358.80,
Nicole Parker,-63,lifters-view?id=33436,9.,Nicole Parker,1976,,AZ,60.92,105,112.5,115,60,65,-67.5,125,137.5,140,320,352.61,
Julie Adams,-63,lifters-view?id=8082,75.,Julie Adams,1976,,TX,61.42,117.5,-122.5,-122.5,60,62.5,-65,137.5,-145,-145,317.5,347.66,
Roxanne Kirstner,-63,lifters-view?id=3018,11.,Roxanne Kirstner,1976,,PA,61.94,102.5,115,-122.5,60,65,67.5,115,127.5,135,317.5,345.41,
Shannon Mosca,-63,lifters-view?id=38103,12.,Shannon Mosca,1977,,FL,61.18,107.5,-112.5,-112.5,70,-72.5,-72.5,120,130,137.5,315,345.96,
Priscilla Ribic,-72,lifters-view?id=397,7.,Priscilla Ribic,1972,,AK,71.22,147.5,,,102.5,110,115,-190,190,-217.5,452.5,444.90,
Crystal McCullough,-72,lifters-view?id=32017,22.,Crystal McCullough,1976,,NC,71.32,-140,145,150,80,-82.5,-82.5,165,172.5,177.5,407.5,400.29,
Melody Miller,-72,lifters-view?id=32353,3.,Melody Miller,1970,,CO,69.77,127.5,135,140,-85,90,92.5,152.5,162.5,-172.5,395,393.85,
Leah Lutz,-72,lifters-view?id=23093,29.,Leah Lutz,1975,,CA,70.74,135,142.5,150,80,85,87.5,145,155,-165,392.5,387.67,
Tracy Cook,-72,lifters-view?id=16453,37.,Tracy Cook,1970,Team Carolina,NC,70.08,125,132.5,-140,72.5,75,77.5,150,157.5,165,375,372.79,
