Comp ID,Date,Name,Sanction #,State,Results,Homepage
competitions-view?id=520,10/26/2013,Alaska Fitness Expo - GNC Alaska Bench Press Invitational,AK-2013-04,,,
competitions-view?id=521,10/26/2013,Alaska Fitness Expo - GNC Alaska Deadlift Invitational,AK-2013-04,Alaska,,
competitions-view?id=518,10/12/2013,Indiana Powerfest,IN-2013-01,,,
competitions-view?id=508,10/08/2013,North Texas Showdown,,,,
competitions-view?id=545,09/28/2013,5th Annual Iron Wars,TX-2013-02,,,
competitions-view?id=515,09/14/2013,Top of the World Powerlifting Challenge,AK-2013-02,Alaska,,
competitions-view?id=542,09/11/2013,Rivers Edge PL/BP,,,,
competitions-view?id=510,08/10/2013,Powerlifting for Pups,GA-2013-03,Georgia,,
competitions-view?id=503,07/27/2013,2013 Rocky Mountain State Games,CO-2013-01,Colorado,,
competitions-view?id=500,07/19/2013,2013 Raw Nationals,NS-2013-03,Nationals,,
competitions-view?id=499,07/13/2013,2013 CA State Games,CA-2013-01,California,,
competitions-view?id=539,07/12/2013,Sioux Empire Bench Open,,,,
competitions-view?id=502,07/08/2013,2013 USAPL Central Florida Open Powerlifting Championships,FL-2013-03,Florida,,
competitions-view?id=497,06/29/2013,2013 USAPL KANSAS HEAVY METAL OPEN,13-06-002,,,
competitions-view?id=509,06/02/2013,New Jersey State High School- Benchpress & PL Championships,13-06-01,,,
competitions-view?id=489,05/18/2013,USAPL 2013 Women's National Championships -,NS-2013-01,Nationals,,
competitions-view?id=485,05/11/2013,Twin Ports Raw Open,13-05-02,,,
competitions-view?id=482,05/03/2013,Men's Masters Nationals,13-05-01,Nationals,,
competitions-view?id=479,04/27/2013,S.E HS State Wars,AL-2013-01,Alabama,,
competitions-view?id=481,04/27/2013,2013 USAPL SSPT INVITATIONAL POWERLIFTING CHAMPIONSHIPS,13-04-07,,,
competitions-view?id=473,04/20/2013,2013 USAPL Alaska State Championships,AK-2013-01,Alaska,,
competitions-view?id=477,04/20/2013,Powerlifting for Pink,GA-2013-02,Georgia,,
competitions-view?id=470,04/13/2013,Rage in the Cage 2013,13-04-06,,,
competitions-view?id=476,04/13/2013,2013 Battle of the Great Lakes,13-04-03,,,
competitions-view?id=469,04/12/2013,Collegiate Nationals,,,,
competitions-view?id=506,04/08/2013,3rd Annual Boston Open,,,,
competitions-view?id=471,04/06/2013,2013 GA Spring Open -,GA-2013-01,Georgia,,
competitions-view?id=472,04/06/2013,Richmond Open 4/14/13,13-04-01,,,
competitions-view?id=463,04/05/2013,2013 High School Nationals - JV,13-04-04,Nationals,,
competitions-view?id=464,04/05/2013,2013 High School Nationals - Varsity,13-04-04,Nationals,,
competitions-view?id=465,04/05/2013,2013 High School Nationals - JV,13-04-04,Nationals,,
competitions-view?id=466,04/05/2013,2013 High School Nationals - Varsity,13-04-04,Nationals,,
competitions-view?id=467,03/24/2013,Cajun Pride,13-03-10,,,
competitions-view?id=461,03/23/2013,2013 Battle on the Border VI,13-03-14,,,
competitions-view?id=462,03/23/2013,2013 USAPL PA State Powerlifting Championship,PA-2013-01,,,
competitions-view?id=452,03/10/2013,3rd Annual Ryan Moore NE Open High School PL Championship,13-03-04,,,
competitions-view?id=457,03/10/2013,Gulf Coast Championships,13-03-09,,,
competitions-view?id=454,03/09/2013,Military Nationals,,Nationals,,
competitions-view?id=458,03/09/2013,USAPL Georgia High School State Championships,13-03-05,Georgia,,
competitions-view?id=505,03/08/2013,2013 USAPL Oklahoma State Championships,,,,
competitions-view?id=453,03/02/2013,WHSPA Girls State Meet,13-03-01,,,
competitions-view?id=444,03/01/2013,Arnold Raw Challenge,,,,
competitions-view?id=445,03/01/2013,Arnold NAPF Equipped,,,,
competitions-view?id=446,03/01/2013,Arnold - Titan Pro Bench,,,,
competitions-view?id=447,03/01/2013,Arnold - Ohio Ironman,,,,
competitions-view?id=448,03/01/2013,Arnold - GNC Pro Deadlift,,,,
competitions-view?id=475,02/23/2013,31st Annual USAPL Florida State Powerlifting Championships,13-02-10,Florida,,
competitions-view?id=540,02/16/2013,2013 California State Powerlifting Championship,13-02-03,California,,
competitions-view?id=449,02/16/2013,"USAPL ""No Frills"" Meet",13-02-04,,,
competitions-view?id=492,02/06/2013,2013 Massachusetts Open - 6/2/13,,,,
competitions-view?id=544,01/03/2013,Army Black and Gold Meet,,,,
competitions-view?id=512,01/01/2013,2013 IPF World Games,,,,
competitions-view?id=513,01/01/2013,2013 IPF Junior & Subjunior Worlds,,,,
competitions-view?id=514,01/01/2013,USA Powerlifting Push-Pull and Deadlift National Championships,,,,
competitions-view?id=516,01/01/2013,22.00,,,,
competitions-view?id=517,01/01/2013,IPF Masters World Championship,,,,
competitions-view?id=522,01/01/2013,Southside Strength & Fitness Raw Bench Press Challenge,,,,
competitions-view?id=523,01/01/2013,Central Maryland Push-Pull Ch.,,,,
competitions-view?id=524,01/01/2013,USAPL Baton Rouge Legends 2013,,,,
competitions-view?id=525,01/01/2013,2013 USAPL So Cal Regional Championships,,,,
competitions-view?id=528,01/01/2013,Stars & Stripes BP & DL,,,,
competitions-view?id=531,01/01/2013,2013 USAPL KANSAS STATE OPEN - RESULTS,,,,
competitions-view?id=533,01/01/2013,Team Phoenix PL Bash,,,,
