Name,Weightclass,Link,Placing,Name,YOB,Team,State,Weight,Squat1,Squat2,Squat3,Bench press1,Bench press2,Bench press3,Deadlift1,Deadlift2,Deadlift3,Total,Points,Drug tested
Mune van Luen,-52,lifters-view?id=8073,8.,Mune van Luen,1976,,CA,51.80,-122.5,122.5,130,62.5,-65,65,127.5,135,137.5,332.5,415.76,
Cheryl Edelstein,-52,lifters-view?id=7160,13.,Cheryl Edelstein,1975,,MN,51.50,100,105,-110,65,70,-75,137.5,147.5,-152.5,322.5,405.06,
Shellaine Frazier,-52,lifters-view?id=33151,4.,Shellaine Frazier,1971,,MO,50.90,57.5,65,70,70,72.5,-75,115,122.5,127.5,270,342.17,
Marcelle Davis-Ford,-52,lifters-view?id=26479,5.,Marcelle Davis-Ford,1969,Team Phoinix Powerlifting,WA,49.95,72.5,82.5,-90,57.5,62.5,-65,115,122.5,-127.5,267.5,343.90,
Kris Leatherberry,-57,lifters-view?id=28342,21.,Kris Leatherberry,1970,,CA,55.08,117.5,-122.5,122.5,60,65,-67.5,132.5,140,142.5,330,393.36,
Danna Snow,-57,lifters-view?id=8572,2.,Danna Snow,1969,,WA,55.38,75,87.5,92.5,65,70,-75,110,120,-130,282.5,335.30,
Theresa Ball,-57,lifters-view?id=5156,3.,Theresa Ball,1973,,AK,56.10,80,-85,-85,50,52.5,-55,97.5,105,110,242.5,284.94,
Erin Booher,-57,lifters-view?id=29524,4.,Erin Booher,1975,Hoosier Peaches,IN,55.95,60,65,67.5,40,45,-50,70,77.5,-82.5,190,223.71,
Jennifer Thompson,-63,lifters-view?id=455,1.,Jennifer Thompson,1973,Team Carolina,NC,61.05,125,135,142.5,125,137.5,142,160,182.5,192.5,477,524.75,
Kimberly Nash,-63,lifters-view?id=5320,2.,Kimberly Nash,1968,,TX,61.93,-115,-115,115,60,62.5,-65,140,145,-150,322.5,350.88,
Theresa Willis,-63,lifters-view?id=5321,3.,Theresa Willis,1970,,TX,61.36,95,100,-102.5,52.5,57.5,-60,130,137.5,142.5,300,328.74,
Shannan D'Annunzio,-63,lifters-view?id=8376,4.,Shannan D'Annunzio,1971,,GA,61.75,92.5,-97.5,-97.5,67.5,72.5,-75,132.5,-140,-140,297.5,324.42,
Lonnie Fariss,-63,lifters-view?id=26099,5.,Lonnie Fariss,1969,,MD,60.95,90,-95,95,-70,70,-72.5,-130,130,-132.5,295,324.91,
Rebecca Townsend,-63,lifters-view?id=30937,6.,Rebecca Townsend,1973,,MA,61.99,85,90,-100,-47.5,47.5,-50,112.5,120,125,262.5,285.39,
Leah Lutz,-72,lifters-view?id=23093,17.,Leah Lutz,1975,,CA,69.30,140,-147.5,150,75,80,82.5,147.5,152.5,157.5,390,390.70,
Dana Singleton,-72,lifters-view?id=4478,21.,Dana Singleton,1975,,NJ,69.30,127.5,137.5,-140,67.5,72.5,77.5,147.5,157.5,165,380,380.68,
Kerri Cuddy,-72,lifters-view?id=14706,3.,Kerri Cuddy,1973,,MD,69.60,137.5,142.5,145,62.5,67.5,-70,150,160,165,377.5,377.05,
Kristine Kobza,-72,lifters-view?id=30932,4.,Kristine Kobza,1967,Seattle Strength and Power,NC,69.63,120,127.5,-130,75,77.5,80,155,160,162.5,370,369.45,
Amy Vance,-72,lifters-view?id=32112,30.,Amy Vance,1976,Hoosier Peaches,IN,68.75,127.5,137.5,142.5,67.5,72.5,-77.5,135,145,152.5,367.5,370.22,
Crystal McCullough,-72,lifters-view?id=32017,32.,Crystal McCullough,1976,,NC,69.10,117.5,125,130,70,75,-77.5,150,155,-160,360,361.37,
Cynthia Line,-72,lifters-view?id=23786,7.,Cynthia Line,1968,,PA,68.88,117.5,122.5,125,70,75,77.5,140,147.5,155,357.5,359.68,
Jennifer Kroken,-72,lifters-view?id=4171,36.,Jennifer Kroken,1974,Bell Power Systems,TX,70.92,120,125,132.5,67.5,72.5,75,132.5,142.5,145,352.5,347.57,
Amy Noraka,-72,lifters-view?id=15779,38.,Amy Noraka,1976,,CO,69.40,115,122.5,-125,75,80,-85,130,140,145,347.5,347.78,
Tracy Cook,-72,lifters-view?id=16453,10.,Tracy Cook,1970,,NC,70.08,110,117.5,122.5,65,70,72.5,142.5,150,-155,345,342.96,
Raina Haltiner,-72,lifters-view?id=26489,11.,Raina Haltiner,1970,Team Phoinix Powerlifting,WA,70.25,105,115,-122.5,65,70,75,150,155,-162.5,345,342.38,
Kim Wilson,-72,lifters-view?id=23213,12.,Kim Wilson,1968,,MS,66.14,100,107.5,112.5,65,-70,-70,145,155,160,337.5,349.58,
Amy Mason,-72,lifters-view?id=29096,13.,Amy Mason,1976,,NC,68.69,107.5,115,125,-57.5,60,65,115,130,137.5,327.5,330.12,
Brenda Trewyn,-72,lifters-view?id=23459,14.,Brenda Trewyn,1976,,WI,69.30,100,105,-107.5,47.5,52.5,-55,122.5,132.5,137.5,295,295.53,
Vanessa Reed,-72,lifters-view?id=26698,15.,Vanessa Reed,1970,,FL,68.80,-107.5,-107.5,-107.5,60,62.5,-65,147.5,150,-152.5,0,0.00,
Sebrina Davis,-84,lifters-view?id=556,1.,Sebrina Davis,1970,Bell Power Systems,TX,83.05,167.5,177.5,182.5,95,-102.5,105,217.5,-225,225,512.5,459.66,
Alicia Webb,-84,lifters-view?id=558,4.,Alicia Webb,1971,Team Rohr,GA,82.45,180,192.5,-205,-107.5,107.5,-112.5,177.5,190,-205,490,441.15,
Lorin Blake,-84,lifters-view?id=23836,29.,Lorin Blake,1975,,NY,76.88,145,-150,-150,-75,75,-77.5,167.5,-172.5,-172.5,387.5,362.82,
Lucky Sodhi,-84,lifters-view?id=26179,4.,Lucky Sodhi,1971,,NV,79.36,125,132.5,137.5,65,70,72.5,160,170,177.5,387.5,356.15,
Brigette Killion,-84,lifters-view?id=10376,5.,Brigette Killion,1969,,GA,77.57,112.5,,,92.5,97.5,-102.5,165,,,375,349.24,
Donna Adams,-84,lifters-view?id=21829,6.,Donna Adams,1972,,MN,82.79,125,-135,-135,67.5,72.5,75,140,-152.5,152.5,352.5,316.65,
Catherine McCall,-84,lifters-view?id=27393,7.,Catherine McCall,1970,,PA,80.31,125,-127.5,-130,60,67.5,72.5,137.5,-165,-167.5,335,305.86,
FELICIA LYON,-84,lifters-view?id=31830,8.,FELICIA LYON,1974,,CA,79.89,95,105,112.5,42.5,50,55,105,115,-122.5,282.5,258.69,
Marla Dean,-84,lifters-view?id=23279,9.,Marla Dean,1971,,OH,79.45,-92.5,92.5,97.5,-45,45,,115,125,130,272.5,250.32,
Theresa Henderson,-84,lifters-view?id=26852,10.,Theresa Henderson,1968,Hoosier Peaches,IN,76.33,-75,-75,-75,35,37.5,40,105,115,120,0,0.00,
Allison Snead,84+,lifters-view?id=14620,8.,Allison Snead,1975,Seattle Strength and Power,NC,95.49,162.5,175,186.5,85,87.5,90,162.5,175,187.5,464,392.03,
Trina Pinkney,84+,lifters-view?id=29571,16.,Trina Pinkney,1973,,GA,107.76,125,132.5,-140,80,-82.5,85,-182.5,185,192.5,410,334.85,
Jodey Reisz,84+,lifters-view?id=29534,3.,Jodey Reisz,1975,Hoosier Peaches,IN,121.60,125,137.5,-142.5,102.5,-110,-110,165,-180,-185,405,323.11,
Rowena Bagayas,84+,lifters-view?id=25203,4.,Rowena Bagayas,1968,Mana Barbell,HI,97.02,145,150,155,92.5,97.5,-102.5,120,130,137.5,390,327.76,
